EventID,CharacterName,Line
1,KGA-4,반갑습니다 사령관님.
,KGA-4,전투에 필요한 기본 지식을 안내해드리기 위한 로이드 KGA-4라고 합니다.
end,,
2,주인공,어떤 것을 가져갈까?
end,,
3,주인공,모르핀을 주머니에 넣었다.
end,,
4,주인공,칼을 주머니에 넣었다.
end,,
5,주인공,파이프를 주머니에 넣었다.
end,,
6,주인공,다음 방으로 이동해보자.
end,,
7,필트룸,나 좀 도와줘.. 죽을 것 같아 빨리!!
,주인공,낯선 사람이 고통을 호소하고 있다. 도와줄까?
end,,
8,주인공,괜찮으세요..?
,필트룸,다리가 너무 아파.. 나 좀 도와줘
,주인공,제가 도와드릴게요. 같이 가요.
,필트룸,고마워..
end,,
9,주인공,주머니에 있는 모르핀이 도움이 될 것 같다.
,주인공,모르핀을 필트룸에게 줄까?
end,,
10,주인공,이게 도움이 될거에요.
,필트룸,고마워.. 이제 좀 움직일 수 있겠네.
,필트룸,여기 참가자중에 빨간 머리가 있는데 그 사람은 조심해. 걘 진짜 무섭더라.
,주인공,빨간 머리.. 기억해놓자.
end,,
11,주인공,혹시 내가 써야 할 수도 있으니까 아껴야지.
end,,
12,주인공,다음 방으로 이동하자.
end,,
13,주인공,방에 들어오니 타일들이 보인다. 자세히 관찰해볼까?
end,,
14,필트룸,방금 반짝였던 타일들은 뭐지?
,주인공,저쪽 끝에 보이는 문으로 들어가야 할 것 같다.
,주인공,※ 타일을 클릭하여 이동할 수 있습니다 ※
end,,
15,주인공,저쪽 끝에 보이는 문으로 들어가야 할 것 같다.
,주인공,※ 타일을 클릭하여 이동할 수 있습니다 ※
end,,
16,주인공,다행히 별일 없이 도착한 것 같다. 다음 방으로 이동하자.
end,,
17,주인공,다음에는 뭐가 나오려나..
,데브릴,어이 거기!!
,데브릴,잠깐 나 좀 도와줄래?
,주인공,무슨 일이지..?
end,,
18,주인공,저.. 저요?
,데브릴,그래 너. 여기로 가까이 와봐.
,주인공,남자에게 가까이 다가가자 갑자기 나를 공격하려 한다.
end,,
19,주인공,순간적으로 주머니에 있던 칼이 생각났다. 칼을 꺼낼까?
end,,
20,주인공,주머니에 있던 칼을 꺼내 방어 자세를 취했다.
,데브릴,잠깐.. 칼이 있었다고?
,데브릴,운 좋은 줄 알아라
,주인공,남자는 빠르게 사라졌다.
,주인공,칼이 없었다면 위험할 뻔 했다..
end,,
21,주인공,어..?
,데브릴,너처럼 쓸모없는 놈은 하늘나라가 딱이야.
end,,
22,주인공,느낌이 좋지 않다. 무시하고 지나가자.
end,,
23,주인공,다음 방으로 이동하자.
end,,
24,주인공,방에 들어오니 위험해보이는 함정들이 있다.
,주인공,이번 방은 저 함정들을 피해서 통과하기만 하면 되는건가?
,주인공,조심하기만 하면 쉬워보이네..
,주인공,※ 방향키를 이용하여 움직일 수 있습니다 ※
end,,
25,주인공,?!
,주인공,갑자기 불이 꺼졌다. 정전인가?
end,,
26,주인공,다행히 별일 없이 도착한 것 같다.
,주인공,다음 방으로 이동하자.
,바울,잠깐!!
end,,
27,바울,제발 나도 데려가 줘!...
,바울,어두워서 잘 안보이는데 그냥 그 쪽으로 가면 되나?
end,,
28,주인공,함정이 많아서 도와주지 않으면 죽을 것 같은데.. 도와줘야 할까?
end,,
29,주인공,위험해요! 제가 데리러 갈게요. 잠깐만 기다리세요.
end,,
30,주인공,그냥 가자.. 다시 위험을 감수할 필요는 없지.
,주인공,바울을 뒤로 한 채 방을 빠져나갔다.
end,,
31,바울,고마워.. 덕분에 살았어.
,바울,이 은혜는 꼭 갚을게.
,주인공,바울을 데리고 방을 무사히 통과했다.
end,,
32,주인공,생존자들 모두 침묵을 유지중이다.
,주인공,게임들에 지쳐 어떤 것도 호소하고 싶은 의지가 없어보인다.
,주인공,다음 게임은 뭐지?
,주인공,앞에 게임 규칙이 적혀있다.
,주인공,<게임규칙>
,주인공,1. 10초간 카드들이 공개됩니다.
,주인공,2. 같은 그림의 카드를 순서대로 뒤집습니다.
,주인공,3. 모든 카드들이 뒤집어질 때 까지 진행합니다.
,주인공,10초동안 카드들을 잘 기억해야 할 것 같다.
end,,
33,필트룸,잠깐!
,필트룸,그 카드는 아닌 것 같아..
end,,
34,바울,그 카드가 확실한거야?
,바울,다시 생각해보는게 좋겠는데.
end,,
35,주인공,이게 아닌데..
end,,
36,주인공,모든 카드를 찾는데 성공했다!
end,,
